,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
0,Muzaffarpurbandrabandrawab,104,3120.0,30.0,1.0,30.0,104
1,Muzaffarpurbandrabandrawac,380,11400.0,1500.0,25.0,1500.0,190
2,Muzaffarpurbandrabandrawag,183,5490.0,720.0,13.0,720.0,61
3,Muzaffarpurbandrabandrawbc,186,5580.0,1020.0,19.0,1020.0,93
4,Muzaffarpurbandrabargaowae,334,10020.0,0.0,0.0,0.0,167
5,Muzaffarpurbandrabargaowaf,194,5820.0,0.0,0.0,0.0,97
6,Muzaffarpurbandrabargaowah,188,5640.0,60.0,1.0,60.0,94
7,Muzaffarpurbandrabargaowai,776,23280.0,2310.0,38.0,2310.0,259
8,Muzaffarpurbandrabargaowaj,216,6480.0,0.0,0.0,0.0,108
9,Muzaffarpurbandrabargaowbb,259,7800.0,180.0,3.0,180.0,131
10,Muzaffarpurbandrabargaowbc,222,6900.0,60.0,1.0,60.0,117
11,Muzaffarpurbandrabargaowbd,168,5040.0,30.0,1.0,30.0,84
12,Muzaffarpurbandrahatthawad,256,7680.0,0.0,0.0,0.0,128
13,Muzaffarpurbandramunnibangriwab,104,3120.0,30.0,1.0,30.0,104
14,Muzaffarpurbandramunnibangriwac,125,3750.0,0.0,0.0,0.0,125
15,Muzaffarpurbandramunnibangriwad,64,1920.0,0.0,0.0,0.0,64
16,Muzaffarpurbandramunnibangriwaj,78,2340.0,0.0,0.0,0.0,78
17,Muzaffarpurbandramunnibangriwba,157,4710.0,0.0,0.0,0.0,157
18,Muzaffarpurbandramunnibangriwbb,144,4320.0,0.0,0.0,0.0,144
19,Muzaffarpurbandramunnibangriwbc,94,2820.0,30.0,1.0,30.0,94
20,Muzaffarpurbandramunnibangriwbd,127,3810.0,0.0,0.0,0.0,129
21,Muzaffarpurbandranunfarawab,483,14490.0,510.0,9.0,510.0,161
22,Muzaffarpurbandranunfarawac,501,15030.0,180.0,3.0,180.0,167
23,Muzaffarpurbandranunfarawad,435,13050.0,1800.0,30.0,1800.0,145
24,Muzaffarpurbandranunfarawae,258,7740.0,0.0,0.0,0.0,86
25,Muzaffarpurbandranunfarawaf,252,7560.0,0.0,0.0,0.0,126
26,Muzaffarpurbandranunfarawah,330,9900.0,30.0,1.0,30.0,165
27,Muzaffarpurbandranunfarawai,360,10800.0,0.0,0.0,0.0,120
28,Muzaffarpurbandranunfarawaj,162,4860.0,0.0,0.0,0.0,81
29,Muzaffarpurbandranunfarawba,328,9840.0,0.0,0.0,0.0,164
30,Muzaffarpurbandranunfarawbb,206,6180.0,0.0,0.0,0.0,103
31,Muzaffarpurbandranunfarawbc,258,7740.0,0.0,0.0,0.0,129
32,Muzaffarpurbandrapatsarawag,420,12720.0,530.0,13.0,830.0,144
33,Muzaffarpurbandrapatsarawah,168,5040.0,60.0,1.0,60.0,84
34,Muzaffarpurbandrapatsarawai,699,20970.0,110.0,3.0,110.0,233
35,Muzaffarpurbandrapatsarawaj,192,5760.0,0.0,0.0,0.0,96
36,Muzaffarpurbandrapatsarawba,168,5040.0,660.0,11.0,660.0,84
37,Muzaffarpurbandrapatsarawbb,56,1680.0,61.0,3.0,61.0,57
38,Muzaffarpurbandrapatsarawbc,216,6480.0,30.0,1.0,30.0,216
39,Muzaffarpurbandrapirapurwac,352,10560.0,90.0,2.0,90.0,88
40,Muzaffarpurbandrapirapurwad,351,10530.0,30.0,1.0,30.0,117
41,Muzaffarpurbandrapirapurwae,206,6180.0,0.0,0.0,0.0,103
42,Muzaffarpurbandrapirapurwag,576,17280.0,60.0,1.0,60.0,144
43,Muzaffarpurbandrapirapurwah,880,26400.0,1240.0,20.0,1240.0,176
44,Muzaffarpurbandrapirapurwai,828,24930.0,11040.0,214.0,11040.0,167
45,Muzaffarpurbandrapirapurwaj,1010,30300.0,120.0,1.0,120.0,202
46,Muzaffarpurbandrapirapurwba,720,20790.0,6040.0,79.0,6850.0,146
47,Muzaffarpurbandrapirapurwbb,600,18000.0,90.0,2.0,90.0,120
48,Muzaffarpurbandrapirapurwbc,710,21260.0,4020.0,71.0,4060.0,142
49,Muzaffarpurbandrapirapurwbd,488,14640.0,120.0,1.0,120.0,122
50,Muzaffarpurbandrarampurdayalwab,400,12000.0,240.0,2.0,240.0,80
51,Muzaffarpurbandrarampurdayalwac,775,23250.0,150.0,3.0,150.0,155
52,Muzaffarpurbandrarampurdayalwad,192,5760.0,0.0,0.0,0.0,48
53,Muzaffarpurbandrarampurdayalwae,370,11100.0,0.0,0.0,0.0,74
54,Muzaffarpurbandrarampurdayalwaf,636,19080.0,0.0,0.0,0.0,159
55,Muzaffarpurbandrarampurdayalwah,612,18360.0,2490.0,29.0,2490.0,153
56,Muzaffarpurbandrarampurdayalwai,736,22080.0,360.0,6.0,360.0,184
57,Muzaffarpurbandrarampurdayalwaj,259,7770.0,120.0,2.0,120.0,65
58,Muzaffarpurbandrarampurdayalwba,308,9240.0,2070.0,18.0,2070.0,77
